sseqid	description	tax_id	tax_name	name_id
QND78592.1				
SCQ17353.1				
WP_148708480.1				
WGH24593.1				
QUB02984.1				
WP_208967072.1				
AQX44070.1				
KRH93819.1				
AKC35206.1				
KAG0434560.1				
QUB02984.1				
KAF7684931.1				
KAF7684931.1				
KAG0434560.1				
KAF7685228.1				
CAI6376720.1				
KAF0695533.1				
KAI8126178.1				
KAG0429995.1				
KAG6616639.1				
BBO58633.1				
KAG0437264.1				
WGH25690.1				
WGH24606.1				
QUB02984.1				
KAF7685601.1				
WP_259292895.1				
BBE20978.1				
ADM89793.1				
BBO58633.1				
TBU03337.1				
AQX44070.1				
MCB1712129.1				
TBU06551.1				
CDO67278.1				
QHD45061.1				
WP_259289154.1				
TBU11234.1				
KAI5148113.1				
EQB59819.1				
MDE5978285.1				
XP_033755738.1	tigger transposable element-derived protein 6-like	Pecten maximus	6579	LOC117338492
YP_010530156.1	RNA polymerase b''-subunit	Ulva torta	932731	
XP_030006278.1	tigger transposable element-derived protein 6-like	Sphaeramia orbicularis	375764	
XP_008302761.1	tigger transposable element-derived protein 6-like	Stegastes partitus	144197	
XP_015913217.2	tigger transposable element-derived protein 4-like	Parasteatoda tepidariorum	114398	LOC107443765
YP_010530066.1	RNA polymerase b''-subunit	Ulva tepida	1451047	
YP_010530156.1	RNA polymerase b''-subunit	Ulva torta	932731	
YP_003795227.1	Orf1636	Proteromonas lacertae	42746	
YP_009942269.1	hypothetical chloroplast RF21	Haplocladium microphyllum	590004	
XP_057341772.1	tigger transposable element-derived protein 4-like	Microplitis mediator	375433	
YP_010530156.1	RNA polymerase b''-subunit	Ulva torta	932731	
XP_057336463.1	tigger transposable element-derived protein 4-like	Microplitis mediator	375433	
YP_010530066.1	RNA polymerase b''-subunit	Ulva tepida	1451047	
YP_010530066.1	RNA polymerase b''-subunit	Ulva tepida	1451047	
XP_039953998.1	tigger transposable element-derived protein 6-like	Bactrocera tryoni	59916	LOC120770522
XP_042898282.1	tigger transposable element-derived protein 4-like	Parasteatoda tepidariorum	114398	LOC122269410
XP_052071173.1	tigger transposable element-derived protein 4-like	Mytilus californianus	6549	
XP_008179528.1	tigger transposable element-derived protein 4	Acyrthosiphon pisum	7029	
XP_054708872.1	tigger transposable element-derived protein 6-like	Uloborus diversus	327109	LOC129218581
XP_041347231.1	tigger transposable element-derived protein 4-like	Gigantopelta aegis	1735272	LOC121367165
XP_050339345.1	tigger transposable element-derived protein 4-like	Bactrocera neohumeralis	98809	LOC126765680
XP_022172208.1	tigger transposable element-derived protein 6-like	Myzus persicae	13164	LOC111035030
XP_035212025.1	tigger transposable element-derived protein 6-like	Stegodyphus dumicola	202533	LOC118186108
XP_028535067.1	"conserved Plasmodium protein, unknown function"	Plasmodium relictum	85471	
XP_001713418.1	hypothetical protein	Guillardia theta	55529	
YP_010530066.1	RNA polymerase b''-subunit	Ulva tepida	1451047	
XP_028677229.1	tigger transposable element-derived protein 4-like	Erpetoichthys calabaricus	27687	
YP_010530066.1	RNA polymerase b''-subunit	Ulva tepida	1451047	
YP_009220456.1	DNA-directed RNA polymerase subunit beta	Ulva fasciata	111617	
YP_010020355.1	DNA-directed RNA polymerase subunit beta	Ulva australis	111616	
XP_027199818.1	uncharacterized LOC113793939	Dermatophagoides pteronyssinus	6956	LOC113793939
TBU10749.1				
KPM03932.1				
KAF7489417.1				
KAG8431710.1				
KAI5613670.1				
CAG9563419.1				
KAI5108737.1				
CAH2099452.1				
CAB3260931.1				
CAB3252707.1				
GBC39792.1				
CAF0988202.1				
KAE9546906.1				
CAI6370435.1				
CAG4974917.1				
CAI6374924.1				
CAF4939503.1				
KAF0685318.1				
KAE9528898.1				
WFS80099.1				
XP_046552096.1	general transcription and DNA repair factor IIH helicase subunit XPB-like	Haliotis rubra	36100	LOC124261792
XP_046367836.1	general transcription and DNA repair factor IIH helicase subunit XPB-like	Haliotis rufescens	6454	LOC124143088
XP_004833427.1	reverse transcriptase domain containing protein	Theileria equi strain WA	1537102	
AQX44070.1				
SCQ17353.1				
XP_050529652.1	general transcription and DNA repair factor IIH helicase subunit XPB	Daktulosphaira vitifoliae	58002	LOC126899134
XP_050529653.1	general transcription and DNA repair factor IIH helicase subunit XPB	Daktulosphaira vitifoliae	58002	LOC126899134
XP_044130652.1	"ERCC excision repair 3, TFIIH core complex helicase subunit"	Bufo gargarizans	30331	ENSBGGG00000018876
BAL70558.1				
XP_017582776.1	"ERCC excision repair 3, TFIIH core complex helicase subunit"	Corvus brachyrhynchos	85066	
XP_044130653.1	"ERCC excision repair 3, TFIIH core complex helicase subunit"	Bufo gargarizans	30331	ENSBGGG00000018876
XP_044130651.1	"ERCC excision repair 3, TFIIH core complex helicase subunit"	Bufo gargarizans	30331	ENSBGGG00000018876
XP_025409835.1	general transcription and DNA repair factor IIH helicase subunit XPB	Sipha flava	143950	LOC112683144
BAL70641.1				
CAG7636333.1				
BAI50614.1				
XP_040295800.1	"ERCC excision repair 3, TFIIH core complex helicase subunit"	Bufo bufo	8384	ENSBBFG00005014484
KAJ8880614.1				
XP_033755738.1	tigger transposable element-derived protein 6-like	Pecten maximus	6579	LOC117338492
XP_015913217.2	tigger transposable element-derived protein 4-like	Parasteatoda tepidariorum	114398	LOC107443765
XP_047505969.1	tigger transposable element-derived protein 6-like	Pieris napi	78633	
XP_008181524.1	tigger transposable element-derived protein 6-like	Acyrthosiphon pisum	7029	LOC103308950
XP_056649105.1	tigger transposable element-derived protein 4-like	Diorhabda sublineata	1163346	
XP_050520008.1	tigger transposable element-derived protein 6-like	Daktulosphaira vitifoliae	58002	LOC126893647
XP_045480271.1	tigger transposable element-derived protein 6-like	Harmonia axyridis	115357	
XP_014662536.1	tigger transposable element-derived protein 6-like	Priapulus caudatus	37621	LOC106805461
XP_047984684.1	tigger transposable element-derived protein 6-like	Leguminivora glycinivorella	1035111	
XP_030006278.1	tigger transposable element-derived protein 6-like	Sphaeramia orbicularis	375764	
XP_025108664.1	tigger transposable element-derived protein 4-like	Pomacea canaliculata	400727	LOC112572897
XP_046680899.1	tigger transposable element-derived protein 6-like	Homalodisca vitripennis	197043	LOC124367816
NP_149387.1	heme maturase	Tetrahymena thermophila	5911	
QBH73711.1				
XP_048583092.1	T-complex protein 1 subunit zeta	Nematostella vectensis	45351	
XP_033747466.1	T-complex protein 1 subunit zeta-like	Pecten maximus	6579	LOC117332600
PPQ97373.1				
XP_052716961.1	T-complex protein 1 subunit zeta-like	Crassostrea angulata	558553	LOC128189403
CAH1956531.1				
XP_046841665.1	T-complex protein 1 subunit zeta-like	Xenia sp. Carnegie-2017	2897299	
XP_046841571.1	T-complex protein 1 subunit zeta-like	Xenia sp. Carnegie-2017	2897299	
XP_022343209.1	T-complex protein 1 subunit zeta-like	Crassostrea virginica	6565	LOC111136560
XP_011426919.1	T-complex protein 1 subunit zeta	Crassostrea gigas	29159	G22682
XP_008330774.2	"chaperonin containing TCP1, subunit 6A (zeta 1)"	Cynoglossus semilaevis	244447	
XP_055751727.1	T-complex protein 1 subunit zeta	Salvelinus fontinalis	8038	
XP_041732261.1	T-complex protein 1 subunit zeta	Coregonus clupeaformis	59861	
XP_054610421.1	"chaperonin containing TCP1, subunit 6A (zeta 1)"	Dunckerocampus dactyliophorus	161453	
XP_033211652.1	T-complex protein 1 subunit zeta	Belonocnema kinseyi	2817044	
XP_014069829.1	T-complex protein 1 subunit zeta	Salmo salar	8030	
XP_021954677.1	T-complex protein 1 subunit zeta	Folsomia candida	158441	LOC110851272
XP_037543851.1	"chaperonin containing TCP1, subunit 6A (zeta 1)"	Nematolebias whitei	451745	
XP_029637841.1	T-complex protein 1 subunit zeta	Octopus sinensis	2607531	LOC115213070
XP_021373141.1	T-complex protein 1 subunit zeta-like	Mizuhopecten yessoensis	6573	LOC110463113
EDO47505.1				
CAH2099452.1				
CAG9563419.1				
CAG4974917.1				
CAB3252707.1				
GBC39792.1				
CAB3260931.1				
CAF4939503.1				
XP_041734240.1	T-complex protein 1 subunit zeta-like	Coregonus clupeaformis	59861	
CAF0842650.1				
CAF0823763.1				
UJR20665.1				
CAF0842630.1				
YP_010530066.1	RNA polymerase b''-subunit	Ulva tepida	1451047	
TBU03337.1				
CAF0843600.1				
UJR20666.1				
MCB1712129.1				
TBU11234.1				
CAH3026183.1				
TBU06551.1				
KAJ7372207.1				
CAH3165505.1				
XP_033755738.1	tigger transposable element-derived protein 6-like	Pecten maximus	6579	LOC117338492
PFX28645.1				
XP_008181524.1	tigger transposable element-derived protein 6-like	Acyrthosiphon pisum	7029	LOC103308950
XP_014662536.1	tigger transposable element-derived protein 6-like	Priapulus caudatus	37621	LOC106805461
PIK62436.1				
XP_047505969.1	tigger transposable element-derived protein 6-like	Pieris napi	78633	
XP_045480271.1	tigger transposable element-derived protein 6-like	Harmonia axyridis	115357	
RWS15653.1				
XP_021916826.1	tigger transposable element-derived protein 6-like	Zootermopsis nevadensis	136037	
XP_050520008.1	tigger transposable element-derived protein 6-like	Daktulosphaira vitifoliae	58002	LOC126893647
OQV16193.1				
CAH3130694.1				
XP_030006278.1	tigger transposable element-derived protein 6-like	Sphaeramia orbicularis	375764	
KAJ8025254.1				
GAU98472.1				
XP_056017299.1	tigger transposable element-derived protein 6-like	Ostrea edulis	37623	
KAF6028449.1				
XP_037959517.1	G1/S-specific cyclin-E	Teleopsis dalmanni	139649	
XP_037959515.1	G1/S-specific cyclin-E	Teleopsis dalmanni	139649	
NXD74272.1				
XP_049279946.1	G1/S-specific cyclin-E	Anopheles funestus	62324	
KAF2895645.1				
XP_022785601.1	TFIIH basal transcription factor complex helicase XPB subunit-like	Stylophora pistillata	50429	LOC111325945
XP_027057389.1	general transcription and DNA repair factor IIH helicase subunit XPB-like	Pocillopora damicornis	46731	LOC113684249
KAG9508893.1				
OAF67280.1				
KAF0310989.1				
XP_041478222.1	general transcription and DNA repair factor IIH helicase subunit XPB-like	Lytechinus variegatus	7654	LOC121426120
GLJ59497.1				
CAG4635958.1				
XP_054767705.1	general transcription and DNA repair factor IIH helicase subunit XPB-like	Lytechinus pictus	7653	LOC129274976
XP_054767701.1	general transcription and DNA repair factor IIH helicase subunit XPB-like	Lytechinus pictus	7653	LOC129274973
XP_038044860.1	general transcription and DNA repair factor IIH helicase subunit XPB-like	Patiria miniata	46514	LOC119719460
